2,A,HX,香港航空              , 284, C9,2018/03/20,00:05:00,2018/03/19,23:25:38,HKG,Hong Kong,香港,已到ARRIVED            ,A330-343,,,,   ,    
2,A,BR,長榮航空              ,2896, C9,2018/03/20,00:05:00,2018/03/19,23:25:38,HKG,Hong Kong,香港,已到ARRIVED            ,        ,,,,   ,    
1,A,TW,德威航空              , 663, B8,2018/03/20,00:10:00,2018/03/20,00:30:41,TAE,Daegu,大邱,已到ARRIVED            ,B737-800,,,,   ,    
2,A,BR,長榮航空              , 179, C2,2018/03/20,00:25:00,2018/03/20,00:27:51,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,A321-200,,,,   ,    
2,A,TG,泰國航空              ,6361, C2,2018/03/20,00:25:00,2018/03/20,00:27:51,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,        ,,,,   ,    
2,A,NH,全日本空輸            ,5841, C2,2018/03/20,00:25:00,2018/03/20,00:27:51,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,        ,,,,   ,    
1,A,OD,馬印航空              , 634, A2,2018/03/20,00:30:00,2018/03/20,00:10:00,BKI,Kota Kinabalu,亞庇,已到ARRIVED            ,B737-900,,,,   ,    
1,A,GK,捷星日本              ,  11, A8,2018/03/20,00:30:00,2018/03/20,00:07:41,NRT,Tokyo,東京,已到ARRIVED            ,A320-232,,,,   ,    
1,A,CX,國泰航空              , 408, B5,2018/03/20,00:30:00,2018/03/20,00:23:34,HKG,Hong Kong,香港,已到ARRIVED            ,A330-300,,,,   ,    
1,A,KA,國泰港龍              ,5408, B5,2018/03/20,00:30:00,2018/03/20,00:23:34,HKG,Hong Kong,香港,已到ARRIVED            ,        ,,,,   ,    
1,A,IT,台灣虎航              , 506, B1,2018/03/20,00:40:00,2018/03/20,00:18:47,DMK,DMK,廊曼,已到ARRIVED            ,A320-232,,,,   ,    
2,A,BX,釜山航空              , 791, D2,2018/03/20,00:50:00,2018/03/20,00:21:39,TAE,Daegu,大邱,已到ARRIVED            ,A321    ,,,,   ,    
1,A,JW,香草航空              , 179, A4,2018/03/20,00:55:00,2018/03/20,00:36:46,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,A320-214,,,,   ,    
1,A,IT,台灣虎航              , 308,B1R,2018/03/20,00:55:00,2018/03/20,00:43:17,MFM,Macau,澳門,已到ARRIVED            ,A320-232,,,,   ,    
1,A,Z2,菲亞航                , 128, A9,2018/03/20,01:10:00,2018/03/20,00:45:24,MNL,Manila,馬尼拉,已到ARRIVED            ,A320    ,,,,   ,    
1,A,JW,香草航空              , 107, A7,2018/03/20,01:15:00,2018/03/20,00:50:43,NRT,Tokyo,東京,已到ARRIVED            ,A320-214,,,,   ,    
1,A,FE,遠東航空              , 502, B7,2018/03/20,02:00:00,2018/03/20,01:45:55,REP,SIEM REAP,吳哥窟/暹粒,已到ARRIVED            ,MD83    ,,,,   ,    
1,A,5J,宿霧航空              , 310, A6,2018/03/20,02:05:00,2018/03/20,02:07:13,MNL,Manila,馬尼拉,已到ARRIVED            ,A330-300,,,,   ,    
2,A,CI,中華航空              ,  52, A9,2018/03/20,04:30:00,2018/03/20,04:30:00,SYD,Sydney,雪梨,已到ARRIVED            ,A350-900,,,,   ,    
2,A,QF,澳洲航空              , 389, A9,2018/03/20,04:30:00,2018/03/20,04:30:00,SYD,Sydney,雪梨,已到ARRIVED            ,        ,,,,   ,    
2,A,KL,荷蘭航空              ,4990, A9,2018/03/20,04:30:00,2018/03/20,04:30:00,SYD,Sydney,雪梨,已到ARRIVED            ,        ,,,,   ,    
1,A,MH,馬來西亞              ,  62,B1R,2018/03/20,05:00:00,2018/03/20,04:42:03,BKI,Kota Kinabalu,亞庇,已到ARRIVED            ,B737-800,,,,   ,    
1,A,CI,中華航空              ,9428,B1R,2018/03/20,05:00:00,2018/03/20,04:42:03,BKI,Kota Kinabalu,亞庇,已到ARRIVED            ,        ,,,,   ,    
